ENSG00000142657.21	PGD
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.22	CENPS
ENSG00000160049.12	DFFA
ENSG00000142655.13	PEX14
ENSG00000130940.15	CASZ1
ENSG00000225158.2	HSPE1P24
ENSG00000175262.14	C1orf127
ENSG00000215785.2	CFL1P6
ENSG00000120948.17	TARDBP
ENSG00000277726.4	AL109811.3
ENSG00000009724.17	MASP2
ENSG00000271895.2	AL109811.2
ENSG00000116649.10	SRM
ENSG00000171824.14	EXOSC10
ENSG00000198793.13	MTOR
ENSG00000171819.5	ANGPTL7
ENSG00000238173.1	RPL39P6
ENSG00000120942.13	UBIAD1
ENSG00000238199.1	UBE2V2P3
ENSG00000224338.2	MTCYBP45
ENSG00000204624.8	DISP3
ENSG00000116661.11	FBXO2
ENSG00000132879.14	FBXO44
ENSG00000116663.11	FBXO6
ENSG00000116670.15	MAD2L2
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000215910.7	C1orf167
ENSG00000177000.12	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000175206.10	NPPA
ENSG00000120937.9	NPPB
ENSG00000224904.1	AL021155.1
ENSG00000116685.16	KIAA2013
ENSG00000083444.17	PLOD1
ENSG00000116688.16	MFN2
ENSG00000270914.1	AL096840.1
ENSG00000116691.11	MIIP
ENSG00000120949.15	TNFRSF8
ENSG00000227875.2	RPL23AP89
ENSG00000028137.19	TNFRSF1B
ENSG00000225196.2	RPL10P17
ENSG00000048707.15	VPS13D
ENSG00000162496.9	DHRS3
ENSG00000226166.2	AC244670.1
ENSG00000188984.12	AADACL3
ENSG00000157330.10	C1orf158
ENSG00000116721.9	PRAMEF1
ENSG00000239810.3	PRAMEF11
ENSG00000231103.2	PRAMEF30P
ENSG00000120952.4	PRAMEF2
ENSG00000243073.4	PRAMEF4
ENSG00000187545.5	PRAMEF10
ENSG00000204510.5	PRAMEF7
ENSG00000234064.1	PRAMEF29P
ENSG00000232423.6	PRAMEF6
ENSG00000274178.2	PRAMEF28P
ENSG00000229571.7	PRAMEF25
ENSG00000277862.1	PRAMEF34P
ENSG00000236179.1	PRAMEF35P
ENSG00000275774.3	HNRNPCL2
ENSG00000229978.1	PRAMEF36P
ENSG00000279169.3	PRAMEF13
ENSG00000250894.1	PRAMEF31P
ENSG00000231219.1	PRAMEF32P
ENSG00000237700.2	PRAMEF33
ENSG00000204501.7	PRAMEF15
ENSG00000204481.8	PRAMEF14
ENSG00000204479.4	PRAMEF17
ENSG00000162494.6	LRRC38
ENSG00000215909.3	BRWD1P1
ENSG00000162493.16	PDPN
ENSG00000222952.1	RNA5SP41
ENSG00000116731.22	PRDM2
ENSG00000189337.17	KAZN
ENSG00000235829.1	TBCAP2
ENSG00000171729.14	TMEM51
ENSG00000215720.4	AL035405.1
ENSG00000278480.1	AL391094.1
ENSG00000142621.19	FHAD1
ENSG00000142634.13	EFHD2
ENSG00000162438.12	CTRC
ENSG00000142615.8	CELA2A
ENSG00000215704.10	CELA2B
ENSG00000132906.18	CASP9
ENSG00000116138.13	DNAJC16
ENSG00000116771.6	AGMAT
ENSG00000235084.3	CHCHD2P6
ENSG00000236500.1	CD24P1
ENSG00000197312.12	DDI2
ENSG00000116786.13	PLEKHM2
ENSG00000162461.8	SLC25A34
ENSG00000162460.7	TMEM82
ENSG00000162458.13	FBLIM1
ENSG00000224321.1	RPL12P14
ENSG00000233954.6	UQCRHL
ENSG00000178715.8	AL450998.1
ENSG00000065526.11	SPEN
ENSG00000270620.1	AL034555.1
ENSG00000116809.11	ZBTB17
ENSG00000234607.2	AL355994.4
ENSG00000231353.1	AL355994.1
ENSG00000275503.1	AL355994.5
ENSG00000224966.4	TBC1D3P6
ENSG00000183888.4	SRARP
ENSG00000173641.17	HSPB7
ENSG00000186510.12	CLCNKA
ENSG00000232456.1	AL355994.2
ENSG00000184908.17	CLCNKB
ENSG00000185519.9	FAM131C
ENSG00000142627.13	EPHA2
ENSG00000142632.17	ARHGEF19
ENSG00000237276.8	ANO7L1
ENSG00000132881.12	CPLANE2
ENSG00000233929.1	MT1XP1
ENSG00000037637.11	FBXO42
ENSG00000055070.17	SZRD1
ENSG00000226457.1	RPL22P3
ENSG00000187144.11	SPATA21
ENSG00000157191.20	NECAP2
ENSG00000080947.15	CROCCP3
ENSG00000225710.1	AL355149.1
ENSG00000219481.10	NBPF1
ENSG00000215908.10	CROCCP2
ENSG00000283773.1	AL137798.3
ENSG00000186301.8	MST1P2
ENSG00000280114.1	AL021920.2
ENSG00000236698.1	EIF1AXP1
ENSG00000268869.6	ESPNP
ENSG00000058453.17	CROCC
ENSG00000227684.2	CROCCP4
ENSG00000186715.11	MST1L
ENSG00000230239.1	BX284668.3
ENSG00000235241.1	BX284668.4
ENSG00000117122.14	MFAP2
ENSG00000159363.18	ATP13A2
ENSG00000117118.9	SDHB
ENSG00000117115.13	PADI2
ENSG00000142623.11	PADI1
ENSG00000142619.4	PADI3
ENSG00000159339.13	PADI4
ENSG00000276747.1	PADI6
ENSG00000179051.14	RCC2
ENSG00000074964.17	ARHGEF10L
ENSG00000117148.8	ACTL8
ENSG00000117154.12	IGSF21
ENSG00000235282.3	DYNLL1P3
ENSG00000225478.2	AL031737.1
ENSG00000009709.12	PAX7
ENSG00000159423.17	ALDH4A1
ENSG00000169991.11	IFFO2
